Name	Time	Concentration	STD
Alanine	0	104	0
Alanine	23.5	116	0
Alanine	87.25	260	0
Alanine	143.75	56	0
Arginine	0	338	0
Arginine	23.5	340	0
Arginine	87.25	263	0
Arginine	143.75	104	0
Asparagine	0	0	0
Asparagine	23.5	1	0
Asparagine	87.25	2	0
Asparagine	143.75	56	0
Aspartic acid	0	14	0
Aspartic acid	23.5	18	0
Aspartic acid	87.25	25	0
Aspartic acid	143.75	28	0
Cystine	0	163	0
Cystine	23.5	153	0
Cystine	87.25	105	0
Cystine	143.75	1	0
Glucose	0	6161.566667	0
Glucose	6.5	5753.634	0
Glucose	23.5	5578.909	0
Glucose	30.5	5322.78625	0
Glucose	47.75	4410.9025	0
Glucose	54.25	3826.276667	0
Glucose	71.25	1864.135	0
Glucose	78.25	600.09	0
Glucose	143.75	122.91	0
Glutamic acid	0	100	0
Glutamic acid	23.5	197	0
Glutamic acid	87.25	402	0
Glutamic acid	143.75	1006	0
Glutamine	0	1544	0
Glutamine	23.5	1332	0
Glutamine	87.25	641	0
Glutamine	143.75	316	0
Glycine	0	397	0
Glycine	23.5	427	0
Glycine	87.25	435	0
Glycine	143.75	461	0
Histidine	0	179	0
Histidine	23.5	183	0
Histidine	87.25	159	0
Histidine	143.75	143	0
Iso-leucine	0	708	0
Iso-leucine	23.5	690	0
Iso-leucine	87.25	491	0
Iso-leucine	143.75	239	0
Leucine	0	681	0
Leucine	23.5	658	0
Leucine	87.25	469	0
Leucine	143.75	229	0
Lysine	0	698	0
Lysine	23.5	721	0
Lysine	87.25	634	0
Lysine	143.75	518	0
Methionine	0	152	0
Methionine	23.5	157	0
Methionine	87.25	126	0
Methionine	143.75	76	0
Ornithine	0	18	0
Ornithine	23.5	26	0
Ornithine	87.25	48	0
Ornithine	143.75	113	0
Phenylalanine	0	368	0
Phenylalanine	23.5	381	0
Phenylalanine	87.25	339	0
Phenylalanine	143.75	304	0
Serine	0	384	0
Serine	23.5	371	0
Serine	87.25	236	0
Serine	143.75	93	0
Taurine	0	10	0
Taurine	23.5	11	0
Taurine	87.25	7	0
Taurine	143.75	9	0
Threonine	0	734	0
Threonine	23.5	761	0
Threonine	87.25	688	0
Threonine	143.75	643	0
Tyrosine	0	344	0
Tyrosine	23.5	353	0
Tyrosine	87.25	321	0
Tyrosine	143.75	316	0
Valine	0	691	0
Valine	23.5	704	0
Valine	87.25	560	0
Valine	143.75	354	0
Tryptophan	0	70	0
Lactate	0	1201.269149	0
Lactate	23.5	1917.527962	0
Lactate	47.75	3655.325608	0
Lactate	87.25	8283.821373	0
Lactate	143.75	2937.752199	0
Pyruvate	0	49.60583333	7.444390785
Pyruvate	6.5	69.649	2.188991206
Pyruvate	23.5	143.636	7.687484472
Pyruvate	30.5	171.11	8.053391625
Pyruvate	47.75	251.845	6.600056818
Pyruvate	54.25	288.3966667	6.183579735
Pyruvate	71.25	377.165	8.520636713
Pyruvate	78.25	402.47	0
Pyruvate	143.75	163.88	0
Pyroglutamate	0	0	0
Amonia	0	0	0
Amonia	7	190	0
Amonia	23	700	0
Amonia	48	900	0
Amonia	140	900	0
Urea	0	0	0
