Name	Time	Concentration	STD
Alanine	0	106	0
Alanine	23.5	110	0
Alanine	47.75	143	0
Alanine	87.25	270	0
Alanine	143.75	350	0
Arginine	0	347	0
Arginine	23.5	324	0
Arginine	47.75	306	0
Arginine	87.25	261	0
Arginine	143.75	23	0
Asparagine	0	0	0
Asparagine	23.5	1	0
Asparagine	47.75	2	0
Asparagine	87.25	1	0
Asparagine	143.75	1	0
Aspartic acid	0	14	0
Aspartic acid	23.5	17	0
Aspartic acid	47.75	22	0
Aspartic acid	87.25	25	0
Aspartic acid	143.75	11	0
Cystine	0	168	0
Cystine	23.5	145	0
Cystine	47.75	130	0
Cystine	87.25	104	0
Cystine	143.75	14	0
Glucose	0	22263.17833	0
Glucose	6.5	23003.75125	0
Glucose	23.5	21550.461	0
Glucose	30.5	21964.1375	0
Glucose	47.75	19865.63	0
Glucose	54.25	18782.73667	0
Glucose	71.25	16695.67667	0
Glucose	78.25	15502.325	0
Glucose	143.75	921.825	0
Glutamic acid	0	104	0
Glutamic acid	23.5	191	0
Glutamic acid	47.75	284	0
Glutamic acid	87.25	417	0
Glutamic acid	143.75	521	0
Glutamine	0	1676	0
Glutamine	23.5	1348	0
Glutamine	47.75	1054	0
Glutamine	87.25	681	0
Glutamine	143.75	294	0
Glycine	0	406	0
Glycine	23.5	404	0
Glycine	47.75	444	0
Glycine	87.25	420	0
Glycine	143.75	34	0
Histidine	0	181	0
Histidine	23.5	174	0
Histidine	47.75	167	0
Histidine	87.25	158	0
Histidine	143.75	97	0
Iso-leucine	0	719	0
Iso-leucine	23.5	661	0
Iso-leucine	47.75	600	0
Iso-leucine	87.25	488	0
Iso-leucine	143.75	202	0
Leucine	0	686	0
Leucine	23.5	636	0
Leucine	47.75	578	0
Leucine	87.25	468	0
Leucine	143.75	136	0
Lysine	0	713	0
Lysine	23.5	684	0
Lysine	47.75	670	0
Lysine	87.25	632	0
Lysine	143.75	385	0
Methionine	0	158	0
Methionine	23.5	149	0
Methionine	47.75	143	0
Methionine	87.25	126	0
Methionine	143.75	38	0
Ornithine	0	18	0
Ornithine	23.5	25	0
Ornithine	47.75	33	0
Ornithine	87.25	51	0
Ornithine	143.75	85	0
Phenylalanine	0	375	0
Phenylalanine	23.5	361	0
Phenylalanine	47.75	354	0
Phenylalanine	87.25	336	0
Phenylalanine	143.75	222	0
Serine	0	391	0
Serine	23.5	351	0
Serine	47.75	311	0
Serine	87.25	238	0
Serine	143.75	56	0
Taurine	0	11	0
Taurine	23.5	10	0
Taurine	47.75	9	0
Taurine	87.25	7	0
Taurine	143.75	4	0
Threonine	0	751	0
Threonine	23.5	722	0
Threonine	47.75	710	0
Threonine	87.25	682	0
Threonine	143.75	531	0
Tyrosine	0	351	0
Tyrosine	23.5	339	0
Tyrosine	47.75	332	0
Tyrosine	87.25	323	0
Tyrosine	143.75	251	0
Valine	0	711	0
Valine	23.5	667	0
Valine	47.75	633	0
Valine	87.25	552	0
Valine	143.75	262	0
Tryptophan	0	70	0
Lactate	0	1189.125147	0
Lactate	23.5	1744.227328	0
Lactate	47.75	3768.508912	0
Lactate	87.25	10686.02852	0
Lactate	143.75	24098.52125	0
Pyruvate	0	50.20833333	5.736947504
Pyruvate	6.5	80.1325	2.868473752
Pyruvate	23.5	145.323	6.687478598
Pyruvate	30.5	174.1225	6.338193092
Pyruvate	47.75	245.2175	4.231820924
Pyruvate	54.25	281.1666667	5.433645952
Pyruvate	71.25	371.5416667	15.06651613
Pyruvate	78.25	413.315	18.74540077
Pyruvate	143.75	348.245	0
Pyroglutamate	0	0	0
Amonia	0	0	0
Amonia	7	190	0
Amonia	23	700	0
Amonia	48	900	0
Amonia	140	900	0
Urea	0	0	0
Albumin	0	1	0
Albumin	20	2	0
