Name	Time	Concentration	STD
Alanine	0	96	0
Alanine	23.25	280	0
Alanine	47.5	526	0
Alanine	78.25	220	0
Alanine	143.75	74	0
Arginine	0	318	0
Arginine	23.25	276	0
Arginine	47.5	174	0
Arginine	78.25	22	0
Arginine	143.75	4	0
Asparagine	0	0	0
Asparagine	23.25	1	0
Asparagine	47.5	0	0
Asparagine	78.25	0	0
Asparagine	143.75	1	0
Aspartic acid	0	0	0
Aspartic acid	23.25	21	0
Aspartic acid	47.5	27	0
Aspartic acid	78.25	16	0
Aspartic acid	143.75	20	0
Cystine	0	153	0
Cystine	23.25	94	0
Cystine	47.5	26	0
Cystine	78.25	3	0
Cystine	143.75	2	0
Glucose	0	21222.66083	0
Glucose	6.5	20301.358	0
Glucose	23.5	18560.133	0
Glucose	30.5	18014.75	0
Glucose	47.75	14175.0175	0
Glucose	54.25	11616.60167	0
Glucose	71.25	7354.115	0
Glucose	143.75	654.315	0
Glutamic acid	0	86	0
Glutamic acid	23.25	230	0
Glutamic acid	47.5	390	0
Glutamic acid	78.25	442	0
Glutamic acid	143.75	671	0
Glutamine	0	1628	0
Glutamine	23.25	988	0
Glutamine	47.5	241	0
Glutamine	78.25	43	0
Glutamine	143.75	13	0
Glycine	0	375	0
Glycine	23.25	420	0
Glycine	47.5	421	0
Glycine	78.25	307	0
Glycine	143.75	265	0
Histidine	0	170	0
Histidine	23.25	160	0
Histidine	47.5	131	0
Histidine	78.25	83	0
Histidine	143.75	70	0
Iso-leucine	0	668	0
Iso-leucine	23.25	522	0
Iso-leucine	47.5	370	0
Iso-leucine	78.25	139	0
Iso-leucine	143.75	49	0
Lactate	0	1517.26117	0
Lactate	6.5	1964.165253	0
Lactate	23.5	3921.306588	0
Lactate	30.5	5277.338485	0
Lactate	47.75	10458.40675	0
Lactate	54.25	13345.03983	0
Lactate	71.25	17083.80041	0
Lactate	143.75	19330.53918	0
Leucine	0	645	0
Leucine	23.25	505	0
Leucine	47.5	330	0
Leucine	78.25	100	0
Leucine	143.75	31	0
Lysine	0	659	0
Lysine	23.25	629	0
Lysine	47.5	528	0
Lysine	78.25	296	0
Lysine	143.75	103	0
Methionine	0	144	0
Methionine	23.25	133	0
Methionine	47.5	99	0
Methionine	78.25	45	0
Methionine	143.75	22	0
Ornithine	0	19	0
Ornithine	23.25	34	0
Ornithine	47.5	53	0
Ornithine	78.25	47	0
Ornithine	143.75	9	0
Phenylalanine	0	348	0
Phenylalanine	23.25	316	0
Phenylalanine	47.5	217	0
Phenylalanine	78.25	25	0
Phenylalanine	143.75	5	0
Serine	0	360	0
Serine	23.25	257	0
Serine	47.5	212	0
Serine	78.25	130	0
Serine	143.75	37	0
Taurine	0	9	0
Taurine	23.25	9	0
Taurine	47.5	7	0
Taurine	78.25	5	0
Taurine	143.75	48	0
Threonine	0	697	0
Threonine	23.25	680	0
Threonine	47.5	608	0
Threonine	78.25	491	0
Threonine	143.75	458	0
Tyrosine	0	326	0
Tyrosine	23.25	334	0
Tyrosine	47.5	342	0
Tyrosine	78.25	356	0
Tyrosine	143.75	227	0
Valine	0	652	0
Valine	23.25	583	0
Valine	47.5	440	0
Valine	78.25	188	0
Valine	143.75	60	0
Tryptophan	0	70	0
Amonia	0	0	0
Amonia	7	190	0
Amonia	23	700	0
Amonia	48	900	0
Amonia	140	900	0
Urea	0	0	0
Pyruvate	0	93.99	7.428118874
Pyruvate	6.5	430.426	17.49118828
Pyruvate	23.25	751.438	130.9231252
Pyruvate	30.25	1001.9575	49.84390409
Pyruvate	47.5	1363.75875	45.9100783
Pyruvate	54.25	1256.413333	176.8204918
Pyruvate	71.5	1113.42	44.30731091
Albumin	0	1	0
Albumin	20	2	0
Proline	0	22.6
