Name	Time	Concentration	STD
Alanine	0	108	0
Alanine	23.5	105	0
Alanine	47.75	111	0
Alanine	87.25	85	0
Alanine	143.75	3	0
Arginine	0	358	0
Arginine	23.5	325	0
Arginine	47.75	319	0
Arginine	87.25	287	0
Arginine	143.75	215	0
Asparagine	0	1	0
Asparagine	23.5	2	0
Asparagine	47.75	6	0
Asparagine	87.25	20	0
Asparagine	143.75	23	0
Aspartic acid	0	14	0
Aspartic acid	23.5	20	0
Aspartic acid	47.75	26	0
Aspartic acid	87.25	29	0
Aspartic acid	143.75	27	0
Cystine	0	171	0
Cystine	23.5	146	0
Cystine	47.75	133	0
Cystine	87.25	88	0
Cystine	143.75	3	0
Glucose	0	254.455833	0
Glucose	6.5	250.64	0
Glucose	23.5	160.506	0
Glucose	30.5	168.39875	0
Glucose	47.75	109.35375	0
Glucose	54.25	116.885	0
Glucose	71.25	122.508333	0
Glucose	78.25	124.7175	0
Glucose	143.75	132.55	0
Glutamic acid	0	105	0
Glutamic acid	23.5	190	0
Glutamic acid	47.75	303	0
Glutamic acid	87.25	492	0
Glutamic acid	143.75	814	0
Glutamine	0	1762	0
Glutamine	23.5	1383	0
Glutamine	47.75	1083	0
Glutamine	87.25	529	0
Glutamine	143.75	9	0
Glycine	0	433	0
Glycine	23.5	411	0
Glycine	47.75	454	0
Glycine	87.25	526	0
Glycine	143.75	827	0
Histidine	0	188	0
Histidine	23.5	175	0
Histidine	47.75	175	0
Histidine	87.25	166	0
Histidine	143.75	174	0
Iso-leucine	0	738	0
Iso-leucine	23.5	665	0
Iso-leucine	47.75	623	0
Iso-leucine	87.25	518	0
Iso-leucine	143.75	254	0
Leucine	0	708	0
Leucine	23.5	641	0
Leucine	47.75	602	0
Leucine	87.25	509	0
Leucine	143.75	272	0
Lysine	0	732	0
Lysine	23.5	690	0
Lysine	47.75	693	0
Lysine	87.25	664	0
Lysine	143.75	691	0
Methionine	0	160	0
Methionine	23.5	150	0
Methionine	47.75	148	0
Methionine	87.25	136	0
Methionine	143.75	117	0
Ornithine	0	18	0
Ornithine	23.5	24	0
Ornithine	47.75	32	0
Ornithine	87.25	49	0
Ornithine	143.75	115	0
Phenylalanine	0	388	0
Phenylalanine	23.5	364	0
Phenylalanine	47.75	367	0
Phenylalanine	87.25	351	0
Phenylalanine	143.75	366	0
Serine	0	402	0
Serine	23.5	350	0
Serine	47.75	309	0
Serine	87.25	198	0
Serine	143.75	32	0
Taurine	0	11	0
Taurine	23.5	10	0
Taurine	47.75	10	0
Taurine	87.25	10	0
Taurine	143.75	11	0
Threonine	0	772	0
Threonine	23.5	725	0
Threonine	47.75	733	0
Threonine	87.25	707	0
Threonine	143.75	751	0
Tyrosine	0	359	0
Tyrosine	23.5	340	0
Tyrosine	47.75	342	0
Tyrosine	87.25	331	0
Tyrosine	143.75	354	0
Valine	0	729	0
Valine	23.5	671	0
Valine	47.75	655	0
Valine	87.25	585	0
Valine	143.75	389	0
Tryptophan	0	70	0
Lactate	0	1255.902091	0
Lactate	23.5	1325.507864	0
Lactate	47.75	1164.961446	0
Lactate	87.25	820.7934983	0
Lactate	143.75	257.291465	0
Pyroglutamate	0	0	0
Amonia	0	0	0
Amonia	7	190	0
Amonia	23	700	0
Amonia	48	900	0
Amonia	140	900	0
Pyruvate	0	46.79416667	9.094890003
Pyruvate	6.5	73.746	9.271455118
Pyruvate	23.5	120.018	6.179664837
Pyruvate	30.5	131.9475	3.746497253
Pyruvate	47.75	143.09375	12.10510318
Pyruvate	54.25	138.9766667	2.508407529
Pyruvate	71.25	128.935	3.18813033
Pyruvate	78.25	121.1025	2.556191014
Pyruvate	143.75	54.225	0
Urea	0	0	0
Albumin	0	1	0
Albumin	20	2	0
