Name	Time	Concentration	STD
Alanine	0	146.4075	7.668573
Alanine	22	173.52	18.784091
Alanine	41	249.435	10.845
Alanine	47	332.58	16.566011
Alanine	65	372.345	16.566011
Alanine	71	430.185	38.086388
Alanine	89	412.11	10.845
Alanine	95	401.265	37.568182
Alanine	161	30.674292	30.674292
Arginine	0	321.735	8.520637
Arginine	22	270.321667	19.292548
Arginine	41	233.368333	7.263395
Arginine	47	253.853333	18.287968
Arginine	65	204.85	10.504946
Arginine	71	206.858333	23.407209
Arginine	89	164.281667	11.578873
Arginine	95	145.403333	1.391414
Arginine	161	9.3727	9.3727
Cystine	0	263.895	20.449528
Cystine	22	227.745	27.292651
Cystine	41	187.98	40.254936
Cystine	47	210.875	33.589037
Cystine	65	153.035	34.73662
Cystine	71	183.16	27.132576
Cystine	89	148.215	13.034068
Cystine	95	145.805	8.348485
Cystine	161	7.668573	7.668573
Glutamic acid	0	41.5725	2.556191
Glutamic acid	22	89.17	17.832372
Glutamic acid	41	130.14	3.615
Glutamic acid	47	179.545	25.646975
Glutamic acid	65	212.08	12.695463
Glutamic acid	71	260.28	9.564391
Glutamic acid	89	325.35	16.566011
Glutamic acid	95	355.475	11.620599
Glutamic acid	161	17.893337	17.893337
Glutamine	0	1550.835	30.674292
Glutamine	22	1037.505	114.259165
Glutamine	41	725.41	11.620599
Glutamine	47	702.515	57.196261
Glutamine	65	363.91	79.63947
Glutamine	71	259.075	110.025145
Glutamine	89	9.64	16.69697
Glutamine	95	0	0
Glutamine	161	0	0
Glycine	0	198.825	20.449528
Glycine	22	177.135	34.484902
Glycine	41	172.315	14.609849
Glycine	47	254.255	31.167366
Glycine	65	212.08	7.525223
Glycine	71	286.79	50.653017
Glycine	89	278.355	23.70514
Glycine	95	309.685	21.181967
Glycine	161	38.342865	38.342865
Histidine	0	191.595	5.112382
Histidine	22	167.495	14.609849
Histidine	41	155.445	3.615
Histidine	47	173.52	13.034068
Histidine	65	151.83	9.564391
Histidine	71	162.675	16.566011
Histidine	89	148.215	7.23
Histidine	95	145.805	4.174242
Histidine	161	2.556191	2.556191
Iso-leucine	0	666.9675	7.668573
Iso-leucine	22	553.095	73.820389
Iso-leucine	41	492.845	23.520662
Iso-leucine	47	524.175	50.61
Iso-leucine	65	448.26	46.15323
Iso-leucine	71	461.515	59.875285
Iso-leucine	89	413.315	24.606796
Iso-leucine	95	395.24	2.087121
Iso-leucine	161	17.893337	17.893337
Leucine	0	717.5775	17.893337
Leucine	22	596.475	61.66728
Leucine	41	515.74	5.522004
Leucine	47	554.3	39.655303
Leucine	65	453.08	40.309006
Leucine	71	466.335	61.773147
Leucine	89	394.035	21.69
Leucine	95	375.96	3.615
Leucine	161	17.893337	17.893337
Lysine	0	741.075	15.337146
Lysine	22	647.085	63.955879
Lysine	41	591.655	9.09755
Lysine	47	680.825	41.898666
Lysine	65	597.68	31.583875
Lysine	71	643.47	63.339917
Lysine	89	592.86	34.861798
Lysine	95	582.015	16.566011
Lysine	161	35.786674	35.786674
Methionine	0	195.21	5.112382
Methionine	22	172.315	15.050445
Methionine	41	156.65	2.087121
Methionine	47	172.315	9.09755
Methionine	65	147.01	10.435606
Methionine	71	153.035	16.300938
Methionine	89	137.37	7.23
Methionine	95	133.755	3.615
Methionine	161	7.668573	7.668573
Phenylalanine	0	347.04	5.112382
Phenylalanine	22	306.07	34.167647
Phenylalanine	41	231.36	37.568182
Phenylalanine	47	256.665	61.66728
Phenylalanine	65	218.105	29.219697
Phenylalanine	71	204.85	24.069856
Phenylalanine	89	177.135	13.034068
Phenylalanine	95	183.16	38.654026
Phenylalanine	161	20.449528	20.449528
Pyroglutamate	0	0	0
Pyroglutamate	22	0	0
Pyroglutamate	41	0	0
Pyroglutamate	47	0	0
Pyroglutamate	65	0	0
Pyroglutamate	71	0	0
Pyroglutamate	89	0	0
Pyroglutamate	95	0	0
Pyroglutamate	161	0	0
Pyruvate	0	82.5425	0
Pyruvate	22	384.395	0
Pyruvate	41	478.385	0
Pyruvate	47	606.115	0
Pyruvate	65	673.996667	0
Pyruvate	71	721.795	0
Pyruvate	89	807.751667	0
Pyruvate	95	740.673333	0
Pyruvate	161	463.925	0
Serine	0	379.575	15.337146
Serine	22	294.02	31.167366
Serine	41	237.385	4.174242
Serine	47	241	16.300938
Serine	65	185.57	22.088015
Serine	71	180.75	27.292651
Serine	89	159.06	6.261364
Serine	95	159.06	3.615
Serine	161	33.230483	33.230483
Threonine	0	636.24	5.112382
Threonine	22	580.81	75.165346
Threonine	41	557.915	21.790185
Threonine	47	621.78	58.177919
Threonine	65	573.58	52.676558
Threonine	71	610.935	58.177919
Threonine	89	596.475	28.693173
Threonine	95	594.065	12.695463
Threonine	161	2.556191	2.556191
Tryptophan	0	79.53	0
Tryptophan	22	69.89	7.525223
Tryptophan	41	65.07	0
Tryptophan	47	69.89	4.174242
Tryptophan	65	63.865	4.174242
Tryptophan	71	65.07	7.23
Tryptophan	89	61.455	3.615
Tryptophan	95	61.455	0
Tryptophan	161	2.556191	2.556191
Tyrosine	0	372.345	0
Tyrosine	22	336.195	41.690214
Tyrosine	41	318.12	7.23
Tyrosine	47	361.5	28.234053
Tyrosine	65	332.58	22.575668
Tyrosine	71	360.295	34.358352
Tyrosine	89	367.525	16.300938
Tyrosine	95	377.165	16.69697
Tyrosine	161	12.780955	12.780955
Valine	0	672.39	5.112382
Valine	22	582.015	95.027067
Valine	41	538.635	39.102204
Valine	47	583.22	56.042217
Valine	65	513.33	65.370556
Valine	71	544.66	65.60337
Valine	89	496.46	30.745215
Valine	95	478.385	7.525223
Valine	161	25.56191	25.56191
Glucose	0	4798.31	0
Glucose	22	4321.13	0
Glucose	41	3747.148333	0
Glucose	47	3361.548333	0
Glucose	65	2618.063333	0
Glucose	71	2178.64	0
Glucose	89	1146.356667	0
Glucose	95	32.93666667	0
Glucose	161	44.585	0
Lactate	0	1666.177092	72.51605497
Lactate	22	2812.523035	414.5443152
Lactate	41	3106.013083	446.6890447
Lactate	47	3344.436232	249.224735
Lactate	65	4339.005793	404.8248572
Lactate	71	5199.75707	1056.894241
Lactate	89	6023.234573	253.4538116
Lactate	95	6793.96728	200.519011
Lactate	161	2824.249414	541.2549412
Amonia	0	0	0
Amonia	23	700	0
Amonia	48	900	0
Amonia	140	900	0
Urea	0	0	0
Albumin	0	1	0
Albumin	20	2	0
