Name	Time	Concentration	STD
Alanine	0	32.535	0
Alanine	22	16.2675	7.668573
Alanine	41	32.535	0
Alanine	47	28.92	6.261364
Alanine	65	25.305	6.261364
Alanine	71	27.1125	0
Alanine	89	32.535	0
Alanine	95	32.535	0
Alanine	161	32.535	0
Arginine	0	366.32	0
Arginine	22	329.5675	38.342865
Arginine	41	375.558333	17.224898
Arginine	47	329.768333	18.52463
Arginine	65	313.701667	30.108929
Arginine	71	338.605	17.041273
Arginine	89	300.045	13.633019
Arginine	95	249.435	16.740395
Arginine	161	97.203333	23.376172
Cystine	0	285.585	0
Cystine	22	310.89	40.899056
Cystine	41	275.945	30.745215
Cystine	47	272.33	17.083823
Cystine	65	278.355	27.292651
Cystine	71	240.3975	46.011438
Cystine	89	216.9	0
Cystine	95	273.535	58.884936
Cystine	161	283.175	38.654026
Glutamic acid	0	36.15	0
Glutamic acid	22	81.3375	23.005719
Glutamic acid	41	194.005	2.087121
Glutamic acid	47	208.465	26.151554
Glutamic acid	65	244.615	56.506663
Glutamic acid	71	310.89	5.112382
Glutamic acid	89	495.255	15.337146
Glutamic acid	95	482	53.65972
Glutamic acid	161	392.83	103.159543
Glutamine	0	1438.77	0
Glutamine	22	858.5625	155.927652
Glutamine	41	673.595	48.545201
Glutamine	47	413.315	91.548284
Glutamine	65	167.495	49.080643
Glutamine	71	184.365	145.702888
Glutamine	89	-140.985	10.224764
Glutamine	95	-185.57	2.087121
Glutamine	161	-137.37	118.96591
Glycine	0	159.06	0
Glycine	22	182.5575	7.668573
Glycine	41	300.045	29.59005
Glycine	47	253.05	33.132022
Glycine	65	342.22	38.990642
Glycine	71	347.04	53.680011
Glycine	89	549.48	0
Glycine	95	691.67	130.75777
Glycine	161	1090.525	118.046956
Histidine	0	184.365	0
Histidine	22	153.6375	17.893337
Histidine	41	169.905	7.23
Histidine	47	153.035	7.525223
Histidine	65	150.625	12.695463
Histidine	71	159.06	10.224764
Histidine	89	178.9425	2.556191
Histidine	95	184.365	20.127468
Histidine	161	173.52	29.59005
Iso-leucine	0	650.7	0
Iso-leucine	22	446.4525	89.466685
Iso-leucine	41	518.15	30.745215
Iso-leucine	47	414.52	29.219697
Iso-leucine	65	380.78	63.682853
Iso-leucine	71	446.4525	10.224764
Iso-leucine	89	478.9875	2.556191
Iso-leucine	95	437.415	42.620221
Iso-leucine	161	321.735	71.115421
Leucine	0	672.39	0
Leucine	22	493.4475	79.241921
Leucine	41	545.865	38.086388
Leucine	47	449.465	26.151554
Leucine	65	410.905	55.338239
Leucine	71	455.49	25.56191
Leucine	89	464.5275	7.668573
Leucine	95	438.62	39.819735
Leucine	161	306.07	66.689974
Lysine	0	676.005	0
Lysine	22	520.56	112.472405
Lysine	41	642.265	36.390202
Lysine	47	549.48	34.861798
Lysine	65	549.48	70.376539
Lysine	71	601.8975	38.342865
Lysine	89	672.39	15.337146
Lysine	95	668.775	74.700282
Lysine	161	629.01	114.259165
Methionine	0	213.285	0
Methionine	22	180.75	15.337146
Methionine	41	200.03	11.044007
Methionine	47	174.725	7.525223
Methionine	65	168.7	14.609849
Methionine	71	177.135	12.780955
Methionine	89	193.4025	2.556191
Methionine	95	196.415	27.132576
Methionine	161	166.29	26.068136
Phenylalanine	0	328.965	0
Phenylalanine	22	260.28	46.011438
Phenylalanine	41	309.685	16.300938
Phenylalanine	47	206.055	40.254936
Phenylalanine	65	212.08	47.041323
Phenylalanine	71	280.1625	12.780955
Phenylalanine	89	209.67	5.112382
Phenylalanine	95	226.54	82.4611
Phenylalanine	161	137.37	25.045455
Pyroglutamate	0	0	0
Pyroglutamate	22	0	0
Pyroglutamate	41	0	0
Pyroglutamate	47	0	0
Pyroglutamate	65	0	0
Pyroglutamate	71	0	0
Pyroglutamate	89	0	0
Pyroglutamate	95	0	0
Pyroglutamate	161	0	0
Pyruvate	0	126.123333	0
Pyruvate	22	151.83	0
Pyruvate	41	96.801667	0
Pyruvate	47	81.538333	0
Pyruvate	65	69.086667	0
Pyruvate	71	97.203333	0
Pyruvate	89	83.948333	0
Pyruvate	95	75.111667	0
Pyruvate	161	80.735	0
Serine	0	354.27	0
Serine	22	240.3975	43.455247
Serine	41	247.025	11.620599
Serine	47	201.235	23.520662
Serine	65	160.265	19.909868
Serine	71	178.9425	10.224764
Serine	89	187.98	10.224764
Serine	95	196.415	30.745215
Serine	161	97.605	22.575668
Threonine	0	618.165	0
Threonine	22	480.795	92.022876
Threonine	41	604.91	21.790185
Threonine	47	508.51	35.110814
Threonine	65	501.28	77.981284
Threonine	71	583.8225	12.780955
Threonine	89	690.465	0
Threonine	95	667.57	71.421032
Threonine	161	636.24	113.915528
Tryptophan	0	65.07	0
Tryptophan	22	56.0325	7.668573
Tryptophan	41	63.865	2.087121
Tryptophan	47	50.61	6.261364
Tryptophan	65	53.02	5.522004
Tryptophan	71	57.84	2.556191
Tryptophan	89	66.8775	2.556191
Tryptophan	95	66.275	9.09755
Tryptophan	161	56.635	11.044007
Tyrosine	0	339.81	0
Tyrosine	22	276.5475	43.455247
Tyrosine	41	338.605	16.300938
Tyrosine	47	272.33	33.589037
Tyrosine	65	285.585	39.102204
Tyrosine	71	323.5425	17.893337
Tyrosine	89	399.4575	2.556191
Tyrosine	95	398.855	41.11152
Tyrosine	161	431.39	76.029675
Valine	0	618.165	0
Valine	22	459.105	92.022876
Valine	41	562.735	28.995215
Valine	47	456.695	34.73662
Valine	65	428.98	71.329486
Valine	71	504.2925	12.780955
Valine	89	558.5175	2.556191
Valine	95	515.74	54.863903
Valine	161	388.01	80.211737
Amonia	0	0	0
Amonia	7	190	0
Amonia	23	700	0
Amonia	48	900	0
Amonia	140	900	0
Urea	0	0	0
Glucose	0	155.445	0
Glucose	22	0	0
Glucose	41	0	0
Glucose	47	0	0
Glucose	65	0	0
Glucose	71	0	0
Glucose	89	0	0
Glucose	95	0	0
Glucose	161	78.325	0
Lactate	0	1535.792539	108.8384416
Lactate	22	1746.784252	160.2988156
Lactate	41	1615.844235	52.39890046
Lactate	47	1496.357042	14.83716378
Lactate	65	1212.612527	141.136955
Lactate	71	1311.169067	216.9129087
Lactate	89	828.4545461	311.8667264
Lactate	95	699.8437353	93.17887549
Lactate	161	7.436275152	16.35611331
AGPC	0	25	0
AGPC	20	250	0
